pl_name,pl_orbper_yr,pl_orbsmax,pl_orbsmax_n,st_mass
Jovian,0.010740051471594798,0.04269,0.037327247415100726,0.67
Jovian,0.008574035865845311,0.03769,0.05129228888594139,0.73
Jovian,0.011356732922655715,0.04515,0.04320274272624081,0.71
Jovian,0.013041442847364818,0.0542,0.053214753171939924,0.94
Jovian,0.01048515126625599,0.05046,0.03867771712106003,1.17
Jovian,0.009168706913073237,0.04639,0.057856628963182895,1.19
Jovian,0.0037416957152635183,0.02498,0.030213671417562954,1.11
Jovian,0.01055106584531143,0.04753,0.046983067340714744,0.96
Jovian,0.006965575633127994,0.037,0.03649741033021711,1.05
Jovian,0.01151047255304586,0.05412,0.038267695588791284,1.2
Jovian,0.011840654346338124,0.06043,0.06819709003186608,1.57
Terrestrial,0.006435649555099247,0.03493,0.04958006489214072,1.03
Jovian,0.01154849993155373,0.05798,0.04013526343302092,1.46
Jovian,0.014828421629021218,0.06112,0.06116427331201009,1.04
Jovian,0.009104099931553731,0.03623,0.034566721296903156,0.57
Jovian,0.009749018480492814,0.04708,0.05157679844923109,1.1
Terrestrial,0.021404388774811774,0.07908,0.0631998111731304,1.08
Jovian,0.008971618617385352,0.04163,0.050043581526748725,0.9
Jovian,0.008368659000684462,0.04026,0.04663115509343029,0.93
Jovian,0.01343982751540041,0.06562,0.09077470037552912,1.56
Jovian,0.008501467488021903,0.04497,0.049131629520183046,1.26
Terrestrial,0.00860079151266256,0.04714,0.04295791006213894,1.41
Jovian,0.00440569144421629,0.03032,0.042796476221904335,1.44
Jovian,0.009818535797399042,0.05071,0.056464559169095485,1.35
Jovian,0.0060924235455167685,0.03211,0.03616811079607397,0.89
Jovian,0.00872091718001369,0.04012,0.047427860006538945,0.85
Terrestrial,0.005169713347022587,0.03632,0.049492767300307675,1.78
Jovian,0.01039156796714579,0.03745,0.042610188096109364,0.49
Jovian,0.020062826557152635,0.066517,0.0848874346983854,0.73
Terrestrial,0.004741563477070499,0.02384,0.032068030684256676,0.6
Jovian,0.007634922929500342,0.032742,0.03508518852435601,0.6
Terrestrial,0.005315926899383983,0.02658,0.029374167144568725,0.66
Jovian,0.008453459822039698,0.03607,0.02652086461939075,0.66
Jovian,0.009812164271047228,0.04667,0.05448878450084035,1.06
Jovian,0.00524378097193703,0.0312,0.027038337122740553,1.1
Terrestrial,0.02615296372347707,0.0907,0.08232717306625649,1.09
Jovian,0.057651033538672146,0.1536,0.1501369764424221,1.09
Terrestrial,0.02787874058863792,0.113,0.1325580322704317,1.21
Terrestrial,0.006956878850102669,0.035,0.03609834401010808,1.0
Terrestrial,0.016792607802874743,0.07,0.0637669260560863,1.84
Terrestrial,0.03169875427789186,0.0964,0.13887062590792668,0.87
Terrestrial,0.07554335386721424,0.1721,0.2216957565437436,0.87
Terrestrial,0.2936208076659822,0.425,0.4708425140358553,0.87
Jovian,0.03158201232032854,0.1097,0.10566650483487547,1.32
