pl_rade,log_pl_orbper,st_teff,pl_class
10.223,0.6779158670746458,5304.0,Jovian
12.666,0.5831649248942394,5990.0,Jovian
15.805,0.5248983148984226,5758.0,Jovian
15.491,0.1356586912136181,6010.0,Jovian
15.02,0.5858865579231198,5644.0,Jovian
11.377,0.4055472368180146,5621.0,Jovian
14.022,0.6236833782072339,6214.0,Jovian
18.921,0.6359659279350858,6536.0,Jovian
12.767,0.3711826117377454,5587.0,Terrestrial
12.274,0.625115800716954,7175.0,Jovian
12.621,0.7336851508007922,5670.0,Jovian
11.187,0.521827240735995,3724.0,Jovian
12.924,0.5515511182573601,5688.0,Jovian
13.395,0.8930930552108349,5542.0,Terrestrial
11.825,0.5154610280944498,5416.0,Jovian
13.529,0.4852460965468292,5627.0,Jovian
18.82,0.6909839196938954,6554.0,Jovian
16.825,0.4920841229019296,6277.0,Jovian
15.816,0.4971286448922215,6626.0,Terrestrial
18.887,0.2066043023582935,6594.0,Jovian
13.809,0.5546369524623276,6147.0,Jovian
10.593,0.34738031248878,5137.0,Jovian
6.311,0.5031523867490062,4985.0,Jovian
15.513,0.2760566873796403,7930.0,Terrestrial
11.478,0.5792713071107873,3405.0,Jovian
8.097,0.8649823433055726,4656.1,Jovian
11.568,0.2385117936019675,3776.9,Terrestrial
9.909,0.4453948820483283,3790.4,Jovian
12.094,0.288169224828037,4016.0,Terrestrial
13.058,0.489624717472102,4071.0,Jovian
9.785,0.5543550349735561,5679.0,Jovian
13.85,0.2822347679093358,5599.0,Jovian
2.44,0.9801111360053748,6327.0,Terrestrial
4.35,1.3233973221194226,6327.0,Jovian
3.2,1.0078633753895851,6200.0,Terrestrial
2.05,0.4050046650503693,5732.0,Terrestrial
11.209,2.040404528914159,6651.0,BrownDwarf
13.138,0.7877083696100172,5864.0,Terrestrial
1.664,1.063632419919735,5664.0,Terrestrial
2.916,1.4407864867193712,5664.0,Terrestrial
2.562,2.0303770535558,5664.0,Terrestrial
1.31,0.2098258795542425,5799.0,Terrestrial
11.5,1.0620300232289386,5521.0,Jovian
8.295,0.4587722706862895,6179.0,Jovian
3.41,1.0654452605440228,6310.0,Terrestrial
1.64,0.6772555429914421,5125.0,Terrestrial
2.39,1.2349827110941602,5125.0,Terrestrial
12.33,1.326676402721162,6040.0,Terrestrial
3.55,1.2423246741900058,5788.0,Terrestrial
2.6,0.616731225963823,5145.0,Terrestrial
12.666,0.3460742459905954,5052.0,Jovian
3.41,0.9484288896176688,5348.0,Terrestrial
3.195,1.45605831913012,5348.0,Terrestrial
2.995,1.5837997594223996,5348.0,Jovian
3.74,2.453318340047037,5348.0,Terrestrial
17.318,0.5196912547742379,6272.0,Jovian
1.72,-0.0333336747824713,5596.0,Terrestrial
2.501,1.209572889808771,5070.0,Terrestrial
15.581,0.5471281454778968,6091.0,Jovian
1.745,0.0034756115172232,5978.0,Terrestrial
1.602,0.4903695293869115,4699.0,Terrestrial
1.511,0.8302408372463052,4699.0,Terrestrial
4.71,0.7807542676240053,5527.0,Jovian
9.17,1.1546278336717115,5080.0,Jovian
2.0,1.2471649476891806,4684.0,Terrestrial
1.87,1.474179682698408,4684.0,Terrestrial
0.75,0.5995162766560403,4684.0,Terrestrial
0.818,0.8980413974559665,4684.0,Terrestrial
1.137,1.085011565936659,4684.0,Terrestrial
1.24,0.442406073856738,3803.0,Terrestrial
1.533,0.7563226337974259,3803.0,Terrestrial
16.141,0.6156218407951487,6801.0,Jovian
2.199,1.3596655242604243,6120.0,Terrestrial
4.23,1.7482515379300556,6120.0,Jovian
3.25,1.9256214032486367,6120.0,Jovian
1.627,-0.017885195429319,5300.0,Terrestrial
2.923,1.4748933345138306,5300.0,Terrestrial
9.718,1.2721211371765089,6089.0,Jovian
2.45,1.1565235895932957,6203.0,Terrestrial
13.5,2.9334872878487053,4934.0,Terrestrial
2.79,0.8060470866871896,4511.0,Terrestrial
2.39,1.2759960091705884,4511.0,Terrestrial
11.994,2.0470282427463946,5561.0,Terrestrial
1.613,-0.1429251407280992,5910.0,Terrestrial
2.16,0.6003651113953417,5863.0,Terrestrial
7.398,1.0724079946824483,5576.0,Jovian
1.35,0.0166720982961832,5987.0,Terrestrial
3.228,0.5617141892258132,5987.0,Terrestrial
3.89,1.7410491216395745,5212.0,Terrestrial
2.12,0.977253014067778,5212.0,Terrestrial
2.466,0.9600186476802438,5089.0,Terrestrial
22.754,-0.0083427687564856,4590.0,Jovian
2.74,1.012369368342684,5198.0,Terrestrial
3.84,1.2856563078643108,5620.0,Terrestrial
3.59,0.9173475593863744,5636.0,Terrestrial
15.98,0.520347131064638,6061.0,Jovian
5.33,0.67522816185362,5599.0,Terrestrial
2.56,1.1418844773928667,4950.0,Terrestrial
1.82,0.7284998752157934,5775.0,Terrestrial
12.14,0.7647502025649864,5660.0,Terrestrial
10.447,1.0565592249627604,4920.0,Terrestrial
12.06,1.3069097727097996,5657.0,Jovian
1.5,-0.4326077566107198,5200.0,Terrestrial
14.572,0.9626108063531754,4840.0,Jovian
3.013,1.6229179627992922,5356.3,Jovian
9.11,1.453021863473556,5370.0,Jovian
13.563,0.8175116908819576,5585.0,Jovian
1.51,-0.5523390987286104,4599.0,Terrestrial
2.37,1.5177186242825325,3457.0,Terrestrial
2.52,0.9477106360174244,5306.0,Terrestrial
7.0,0.8988458021934915,5322.0,Jovian
4.1,1.0755214139068972,5322.0,Jovian
1.11,0.3993448481803675,5322.0,Terrestrial
1.75,0.3374193243296731,4503.0,Terrestrial
1.0,-0.2334265531198177,5315.0,Terrestrial
11.209,1.047993059799791,6154.0,Jovian
16.197,0.3385631396482846,6360.0,Jovian
14.572,0.505781959609405,5630.0,Jovian
5.4,1.3199336583488712,5625.0,Jovian
7.5,1.626741622006776,5625.0,Jovian
3.44,0.5421484554636109,3207.0,Terrestrial
17.396,0.419404802940676,6367.0,Jovian
9.528,1.0657095728880337,5445.0,Jovian
2.41,1.706025661957418,5368.0,Terrestrial
1.71,0.3745965913007686,5477.0,Terrestrial
4.48,0.8306730175457236,5248.0,Terrestrial
2.59,0.5405478187049426,4975.0,Terrestrial
3.53,0.8535794640546432,4975.0,Terrestrial
9.494,1.1729906752682782,5695.0,Jovian
13.339,0.5130619855274627,5358.0,Jovian
11.276,1.684547803903548,6302.0,Jovian
1.589,0.3473645623128732,5520.0,Terrestrial
2.63,1.2300425382305011,5725.0,Terrestrial
10.054,0.6047515338665137,4444.0,Jovian
1.98,1.0023659208644304,3896.0,Terrestrial
1.56,1.3917566996187527,3896.0,Terrestrial
1.53,1.6489106789444552,3896.0,Terrestrial
11.646,0.6126252573152748,5425.0,Jovian
11.882,0.0996288541009923,5280.0,Terrestrial
5.299,0.953856298224986,5271.0,Jovian
3.134,1.3151498663016026,5271.0,Terrestrial
3.484,1.5012922391214034,5271.0,Jovian
1.212,0.6384233589994807,5271.0,Terrestrial
8.676,1.0953480033147098,5282.0,Jovian
13.75,0.4764888671007989,6168.0,Jovian
1.43,0.1530870782918396,4916.0,Terrestrial
3.12,0.727626700535272,4953.0,Terrestrial
1.54,0.6037861341970521,5731.0,Terrestrial
2.29,1.0237062762946016,5731.0,Terrestrial
6.277,0.6632701856531421,4881.0,Jovian
7.656,0.4775047121765561,5500.0,Terrestrial
2.49,0.7049762641021736,5887.0,Terrestrial
10.61,0.9246268927095088,4717.0,Jovian
5.2,1.0058857967874075,6172.0,Terrestrial
11.73,1.261310103185222,6217.0,Jovian
12.442,0.0854739637986139,6518.0,BrownDwarf
15.681,0.619747818023725,5948.0,Jovian
15.132,0.6754208636873493,5375.0,Jovian
19.952,0.7017080936547573,6279.0,Jovian
19.537,0.2330104850476364,5720.0,Jovian
19.504,0.5223711928571244,6003.0,Jovian
15.861,-0.0136784190775544,6236.0,Jovian
17.094,0.4885749122332754,7454.0,Jovian
17.598,0.4581469019531327,6670.0,Jovian
21.409,0.6638619236476216,7500.0,Jovian
15.132,0.6142421181392138,6327.0,Jovian
19.515,0.5408433777885296,8720.0,Jovian
14.83,0.3531948840626135,5899.0,Jovian
14.258,0.7444097652475582,6509.0,Terrestrial
17.486,0.4319087029795491,6304.0,Jovian
19.044,0.475612097015171,6206.0,Jovian
14.572,0.8946316977731895,6102.0,Jovian
17.934,0.4369208071114585,6768.0,Jovian
18.159,0.5110888780384835,5754.0,Jovian
21.196,0.1705912726551202,10170.0,Jovian
13.787,1.2517642813668215,6635.0,Jovian
10.54,1.9377568436973251,5520.0,Terrestrial
16.948,0.2463971350899204,7650.0,Terrestrial
3.438,1.0380822256065392,5466.0,Terrestrial
14.0,1.3476211390081818,5466.0,Jovian
11.097,2.149962846966579,5830.0,Terrestrial
1.71,0.5732439603611228,6182.0,Terrestrial
4.32,1.0180197371021884,6182.0,Jovian
11.27,1.3491412717058893,6182.0,Jovian
6.56,1.734962239750082,6182.0,Jovian
11.545,0.2320531000535947,5165.0,Terrestrial
1.481,-0.0770198513613726,5627.0,Terrestrial
2.323,1.6560464287238046,5706.0,Terrestrial
1.32,0.8380332359757762,5825.0,Terrestrial
2.2,1.107749110037164,5825.0,Terrestrial
1.61,1.5481817425532105,5825.0,Terrestrial
5.77,0.5425367803292055,5667.0,Terrestrial
0.47,0.7232060246390831,4903.0,Terrestrial
0.58,0.849506632501439,4903.0,Terrestrial
1.18,1.0133302695276776,4903.0,Terrestrial
2.22,1.208056878684064,4903.0,Terrestrial
0.88,1.438599301704939,4903.0,Terrestrial
0.82,0.7899232184957667,5858.0,Terrestrial
2.5,1.1326054501169691,5858.0,Terrestrial
0.95,1.379852800886857,5858.0,Terrestrial
2.56,1.6419151217736123,5858.0,Terrestrial
1.536,0.5024300972131288,5854.0,Terrestrial
1.597,0.6903247539417944,5854.0,Terrestrial
2.903,1.1687667863356153,5854.0,Terrestrial
2.37,0.811684235961135,5952.0,Terrestrial
2.52,1.3268006350086712,5952.0,Terrestrial
1.8,1.013001635180825,5663.0,Terrestrial
2.87,1.1147477221029778,5663.0,Jovian
3.12,1.3557292112134942,5663.0,Terrestrial
4.19,1.5051445496049527,5663.0,Jovian
2.49,1.6692127117959676,5663.0,Jovian
3.33,2.073280903681438,5663.0,Terrestrial
1.82,0.6770591773921614,4725.0,Terrestrial
2.18,0.9506116310021036,4725.0,Terrestrial
12.341,1.705781556173524,6150.0,Terrestrial
19.661,0.6471836673433474,5947.0,Jovian
2.4,1.1983821300082942,5770.0,Terrestrial
2.52,1.9148718175400503,5770.0,Terrestrial
2.41,1.2066100238992237,5685.0,Terrestrial
0.84,1.406827911637248,5685.0,Terrestrial
12.733,0.8318776413994189,6395.0,Terrestrial
10.76,0.6939714564480604,5515.0,Jovian
12.42,2.338121359926896,6145.0,Terrestrial
8.449,2.3594104623663177,4450.0,Jovian
2.213,1.0745560308291098,6148.0,Terrestrial
4.52,1.499164515495657,5569.0,Terrestrial
11.994,0.5853899709692468,6216.0,Terrestrial
10.16,3.029883557777217,4884.0,Terrestrial
14.68,0.1719342803616592,5781.0,Terrestrial
11.949,2.99514408529666,5746.0,Terrestrial
2.0,0.5446539465058139,5345.0,Terrestrial
5.49,0.8831837324476127,5345.0,Jovian
6.98,1.1719860753632485,5345.0,Jovian
2.209,0.9678829276755808,5544.0,Terrestrial
1.868,0.5677455046635126,5495.0,Terrestrial
3.047,1.035593453954365,5495.0,Terrestrial
2.744,1.8899249589409968,5495.0,Terrestrial
0.865,0.7852246525261579,5495.0,Terrestrial
1.003,1.2917591133396131,5495.0,Terrestrial
1.639,0.4449468161228964,6305.0,Terrestrial
2.38,2.462191733924622,5518.0,Terrestrial
2.748,0.7950660473032398,6103.0,Terrestrial
5.217,1.104511010508361,6354.0,Jovian
8.564,2.4606302710122248,5913.0,Jovian
8.16,2.11878702064501,5606.0,Jovian
0.296,1.1260440198501422,5417.0,Terrestrial
0.75,1.3284203803489505,5417.0,Terrestrial
1.94,1.5997979507434648,5417.0,Terrestrial
13.9,1.3240191230416023,6350.0,BrownDwarf
4.002,0.506972898337785,5857.0,Terrestrial
13.11,0.837177305164802,6510.0,Terrestrial
1.43,0.384942708267034,5538.0,Terrestrial
0.85,0.6649539538803473,5538.0,Terrestrial
1.07,-0.174372686258452,5476.0,Terrestrial
0.82,0.3918204472864339,6104.0,Terrestrial
1.19,1.8385871762616632,5460.0,Terrestrial
14.46,0.2684745806424682,5750.0,Jovian
2.401,0.4778670214903956,4974.0,Terrestrial
15.031,0.23574564082801,5750.0,Jovian
4.347,1.821264540146232,4700.0,Terrestrial
13.45,1.9379116877279756,5820.0,Jovian
10.8,1.843572852644472,6430.0,Terrestrial
12.89,0.8971567156271845,5972.0,Jovian
13.361,0.4288356623939173,5560.0,Jovian
9.98,0.5200725468515733,5460.0,Terrestrial
10.962,0.5794426742451254,5170.0,Jovian
12.22,0.5075210972209199,5725.0,Jovian
13.79,1.012457324992373,5800.0,Jovian
12.11,0.5472370458627728,5150.0,Terrestrial
13.664,0.4805954157642361,6041.0,Terrestrial
12.834,1.7201686427049674,4995.0,Terrestrial
16.25,0.7270598375561838,6360.0,Jovian
12.67,1.109737452062851,5977.0,Terrestrial
22.31,0.9345062078757436,6161.0,Jovian
12.22,0.5114460803053623,5800.0,Jovian
1.58,0.4748207949425825,3157.0,Terrestrial
2.51,0.687638546549522,3157.0,Terrestrial
1.25,0.9113041251051984,3157.0,Terrestrial
1.5,0.1946278263786524,3359.0,Terrestrial
1.11,0.4823273721050786,3359.0,Terrestrial
1.35,0.711716228489252,3359.0,Terrestrial
18.49,0.8917771911774521,5493.0,Jovian
10.76,0.3900937739861125,3820.0,Jovian
6.204,2.381120498070848,5527.0,Jovian
2.354,1.0240749873074262,5701.0,Terrestrial
3.05,1.6942918674862393,5636.0,Jovian
4.65,2.481767869219065,5636.0,Jovian
1.88,0.6792461454138591,5194.0,Terrestrial
2.71,0.9856038383987036,5194.0,Terrestrial
2.04,1.6324178090734736,5194.0,Terrestrial
15.984,0.5500406116297996,6297.0,Jovian
2.215,1.912422838087556,5547.0,Terrestrial
8.373,2.099101760038838,5820.0,Terrestrial
14.617,0.5098339548285059,5647.0,Jovian
1.31,0.7570110672421554,4925.0,Terrestrial
0.54,1.0948797252243534,4925.0,Terrestrial
1.95,1.259212927804236,4925.0,Terrestrial
1.61,2.0877367087233982,4925.0,Terrestrial
1.41,2.4269843358005296,4925.0,Terrestrial
