pl_name,log_pl_bmasse,pl_rade,log_pl_densitye,log_pl_orbper,log_pl_orbsmax,st_teff,log_st_mass,pl_class,pl_class2
Kepler-131 c,0.9164539485499251,0.84,1.0186773537559803,1.406827911637248,-0.7736579128363693,5685.0,0.00860017176191757,Terrestrial,SuperEarth
Kepler-14 b,3.4264559544259137,12.733,-0.013274999415607497,0.8318776413994189,-1.112945621949043,6395.0,0.17897694729316943,Terrestrial,Jovian
Kepler-15 b,2.321722674346009,10.76,-0.898652876253402,0.6939714564480604,-1.2430597639532759,5515.0,0.00860017176191757,Jovian,Jovian
Kepler-1514 b,3.2248288104320495,12.42,-0.18247471369793458,2.338121359926896,-0.12320502379929942,6145.0,0.07918124604762482,Terrestrial,Jovian
Kepler-16 b,2.024621107049542,8.449,-0.880733559893576,2.3594104623663177,-0.1519341045960085,4450.0,-0.16115090926274472,Jovian,Jovian
Kepler-1655 b,0.6989700043360189,2.213,-0.460912974054055,1.0745560308291098,-0.9871627752948278,6148.0,0.012837224705172217,Terrestrial,SuperEarth
Kepler-1656 b,1.6794278966121188,4.52,-0.4109261444303273,1.499164515495657,-0.7046528516663821,5569.0,0.012837224705172217,Terrestrial,Neptunian
Kepler-1658 b,3.271572213974376,11.994,-0.09025865613920575,0.5853899709692468,-1.26440110030182,6216.0,0.16136800223497488,Terrestrial,Jovian
Kepler-167 e,2.506514083494617,10.16,-0.6391057769573842,3.029883557777217,0.2748503200166648,4884.0,-0.10790539730951958,Terrestrial,Jovian
Kepler-17 b,2.8913422879345303,14.68,-0.7337746154139246,0.1719342803616592,-1.586532587014175,5781.0,0.01703333929878037,Terrestrial,Jovian
Kepler-1704 b,3.121286040761503,11.949,-0.23564737923376836,2.99514408529666,0.30685374869300874,5746.0,0.05307844348341968,Terrestrial,Jovian
Kepler-18 b,0.8388490907372553,2.0,-0.18917963286298817,0.5446539465058139,-1.3496924768680636,5345.0,-0.01322826573375516,Terrestrial,SuperEarth
Kepler-18 c,1.2380461031287955,5.49,-1.1056096668297803,0.8831837324476127,-1.1237821594083577,5345.0,-0.01322826573375516,Jovian,Neptunian
Kepler-18 d,1.2148438480476977,6.98,-1.4416611564300854,1.1719860753632485,-0.9310723883179282,5345.0,-0.01322826573375516,Jovian,Neptunian
Kepler-19 b,0.9242792860618817,2.209,-0.23324659816072307,0.9678829276755809,-1.078313524516398,5544.0,-0.026872146400301365,Terrestrial,SuperEarth
Kepler-20 b,0.9867717342662449,1.868,0.04770238197572112,0.5677455046635126,-1.334419008982047,5495.0,-0.022276394711152253,Terrestrial,SuperEarth
Kepler-20 c,1.105510184769974,3.047,-0.47104591450634675,1.035593453954365,-1.0227337875727074,5495.0,-0.022276394711152253,Terrestrial,Neptunian
Kepler-20 d,1.003029470553618,2.744,-0.4370615871588242,1.8899249589409972,-0.45518808824222384,5495.0,-0.022276394711152253,Terrestrial,Neptunian
Kepler-20 e,0.4885507165004443,0.865,0.5525636574977018,0.7852246525261579,-1.1944991418415998,5495.0,-0.022276394711152253,Terrestrial,SuperEarth
Kepler-20 f,1.1553360374650619,1.003,1.0264945017955076,1.2917591133396131,-0.8551145817128577,5495.0,-0.022276394711152253,Terrestrial,Neptunian
Kepler-21 b,0.7058637122839193,1.639,-0.0628118850358779,0.4449468161228964,-1.369399255258413,6305.0,0.14921911265537988,Terrestrial,SuperEarth
Kepler-22 b,1.5563025007672873,2.38,0.3016328929894515,2.462191733924622,-0.07109230975604734,5518.0,-0.01322826573375516,Terrestrial,Neptunian
Kepler-25 b,0.9395192526186185,2.748,-0.50246966915222,0.7950660473032398,-1.1643094285075744,6103.0,0.06818586174616162,Terrestrial,SuperEarth
Kepler-25 c,1.1818435879447726,5.217,-1.095357658830652,1.1045110105083613,-0.9582126810282482,6354.0,0.06818586174616162,Jovian,Neptunian
Kepler-34 b,1.8446014196263467,8.564,-1.0783672928491554,2.4606302710122248,0.0372670945687099,5913.0,0.021189299069938092,Jovian,Jovian
Kepler-35 b,1.6059834379173452,8.16,-1.2540257749525383,2.11878702064501,-0.21934431489272924,5606.0,-0.05060999335508721,Jovian,Neptunian
Kepler-37 b,0.5021948878982373,0.296,1.9633810181131217,1.1260440198501422,-0.9986990669795819,5417.0,-0.060480747381381476,Terrestrial,SuperEarth
Kepler-37 c,1.0791812460476249,0.75,1.3290587192642247,1.3284203803489505,-0.8639139026159026,5417.0,-0.09691001300805639,Terrestrial,Neptunian
Kepler-37 d,1.0863598306747482,1.94,0.09801590427577016,1.5997979507434648,-0.6827726508235797,5417.0,-0.09691001300805639,Terrestrial,Neptunian
Kepler-39 b,3.805371706011884,13.9,0.2513885686412991,1.3240191230416025,-0.7851561519523022,6350.0,0.11058971029924898,BrownDwarf,BrownDwarf
Kepler-4 b,1.3886694639766224,4.002,-0.5431005255322553,0.506972898337785,-1.341035157335565,5857.0,0.08635983067474821,Terrestrial,Neptunian
Kepler-40 b,2.8446014196263465,13.11,-0.6331453920522061,0.837177305164802,-1.0969100130080565,6510.0,0.17026171539495738,Terrestrial,Jovian
Kepler-406 b,0.8027737252919757,1.43,0.21182687628849034,0.384942708267034,-1.4449055514216809,5538.0,0.029383777685209667,Terrestrial,SuperEarth
Kepler-406 c,0.4329692908744057,0.85,0.5197737771232277,0.6649539538803473,-1.258060922270801,5538.0,0.029383777685209667,Terrestrial,SuperEarth
Kepler-407 b,0.505149978319906,1.07,0.29205990865597714,-0.174372686258452,-1.826813731587726,5476.0,0.0,Terrestrial,SuperEarth
Kepler-408 b,0.6989700043360189,0.82,0.8325897105765689,0.39182044728643395,-1.4449055514216809,6104.0,0.03342375548694973,Terrestrial,SuperEarth
Kepler-409 b,1.3424226808222062,1.19,0.9908430600363141,1.8385871762616632,-0.49716336137899686,5460.0,-0.036212172654444715,Terrestrial,Neptunian
Kepler-41 b,2.2503712024344784,14.46,-1.3550724130493574,0.2684745806424682,-1.5084982337626736,5750.0,0.06069784035361165,Jovian,Jovian
Kepler-411 b,1.4082399653118496,2.401,0.14212474853246776,0.47786702149039567,-1.4259687322722812,4974.0,-0.060480747381381476,Terrestrial,Neptunian
Kepler-412 b,2.4757845113254944,15.031,-1.180117849685238,0.23574564082801,-1.5380515047962382,5750.0,0.06818586174616162,Jovian,Jovian
Kepler-413 b,1.8260748027008264,4.347,-0.2134328544799847,1.821264540146232,-0.44940479251067206,4700.0,-0.08618614761628333,Terrestrial,Jovian
Kepler-418 b,2.543585399174926,13.45,-0.967520190448654,1.9379116877279754,-0.4226231080829855,5820.0,-0.00877392430750515,Jovian,Jovian
Kepler-419 b,2.900093901543398,10.8,-0.32511610152575077,1.843572852644472,-0.431798275933005,6430.0,0.14301480025409505,Terrestrial,Jovian
Kepler-422 b,2.1356414163866684,12.89,-1.3200560722818406,0.8971567156271845,-1.0861861476162833,5972.0,0.06069784035361165,Jovian,Jovian
Kepler-423 b,2.276693825478216,13.361,-1.2257618031150972,0.42883566239391735,-1.4455108399961811,5560.0,-0.07058107428570728,Jovian,Jovian
Kepler-424 b,2.5150123452580155,9.98,-0.6073180152123978,0.5200725468515733,-1.3565473235138126,5460.0,0.004321373782642578,Terrestrial,Jovian
Kepler-425 b,1.9000939015433984,10.962,-1.344514228273446,0.5794426742451254,-1.3334820194451191,5170.0,-0.03151705144606486,Jovian,Jovian
Kepler-426 b,2.033664963203177,12.22,-1.3524873911247293,0.5075210972209199,-1.3829996588791011,5725.0,-0.040958607678906384,Jovian,Jovian
Kepler-427 b,1.9645895874899033,13.79,-1.5790419476459459,1.012457324992373,-1.0409586076789064,5800.0,-0.017728766960431602,Jovian,Jovian
Kepler-428 b,2.605983437917345,12.11,-0.7683877281201115,0.5472370458627728,-1.3635121036466347,5150.0,-0.060480747381381476,Terrestrial,Jovian
Kepler-43 b,3.0113974102293404,13.664,-0.5202748864137492,0.4805954157642361,-1.337242168318426,6041.0,0.12057393120584989,Terrestrial,Jovian
Kepler-432 b,3.2353921530048066,12.834,-0.21463268846900802,1.7201686427049674,-0.5214335044061567,4995.0,0.12057393120584989,Terrestrial,Jovian
Kepler-433 b,2.9524243229642275,16.25,-0.805074509588752,0.7270598375561838,-1.1681302257194983,6360.0,0.1643528557844371,Jovian,Jovian
Kepler-434 b,2.9585447719331834,12.67,-0.47472380932544056,1.109737452062851,-0.9419537696047182,5977.0,0.07918124604762482,Terrestrial,Jovian
Kepler-435 b,2.4264624614901598,22.31,-1.7439749859696532,0.9345062078757437,-1.0231916626619337,6161.0,0.18752072083646307,Jovian,Jovian
Kepler-44 b,2.5021812233192415,12.22,-0.883971131008665,0.5114460803053623,-1.350665141287858,5800.0,0.04921802267018165,Jovian,Jovian
Kepler-445 b,0.4941545940184428,1.58,-0.22675540345312506,0.4748207949425825,-1.6635402661514704,3157.0,-0.744727494896694,Terrestrial,SuperEarth
Kepler-445 c,0.8356905714924255,2.51,-0.48826932955898866,0.687638546549522,-1.5214335044061567,3157.0,-0.744727494896694,Terrestrial,SuperEarth
Kepler-445 d,0.3222192947339193,1.25,-0.09344948089854986,0.9113041251051985,-1.3575354797578787,3157.0,-0.744727494896694,Terrestrial,SuperEarth
Kepler-446 b,0.456366033129043,1.5,-0.1968464806463007,0.1946278263786524,-1.739928612014925,3359.0,-0.6575773191777937,Terrestrial,SuperEarth
Kepler-446 c,0.14921911265537988,1.11,-0.11168856031289244,0.4823273721050786,-1.5482135644757098,3359.0,-0.6575773191777937,Terrestrial,Terrestrial
Kepler-446 d,0.3783979009481377,1.35,-0.13754214114518065,0.711716228489252,-1.3946949538588904,3359.0,-0.6575773191777937,Terrestrial,SuperEarth
Kepler-447 b,2.638898399199671,18.49,-1.2868510708861483,0.8917771911774521,-1.114073660198569,5493.0,0.0,Jovian,Jovian
Kepler-45 b,2.205466919011157,10.76,-1.0149086315882543,0.3900937739861125,-1.5228787452803376,3820.0,-0.22914798835785583,Jovian,Jovian
Kepler-453 b,1.2041199826559248,6.204,-1.298834121377077,2.3811204980708474,-0.10220801806077531,5527.0,-0.026872146400301365,Jovian,Neptunian
Kepler-454 b,0.7819979375377112,2.354,-0.45836017459283634,1.0240749873074262,-1.0204516252959048,5701.0,-0.07058107428570728,Terrestrial,SuperEarth
Kepler-47 b,0.3159703454569177,3.05,-1.2618679091917397,1.6942918674862393,-0.5410601381096739,5636.0,-0.017728766960431602,Jovian,SuperEarth
Kepler-47 c,0.5010592622177514,4.65,-1.6262383330604102,2.481767869219065,-0.01601307803481035,5636.0,-0.017728766960431602,Jovian,SuperEarth
Kepler-48 b,0.5954962218255742,1.88,-0.35191606257376534,0.6792461454138591,-1.2773660774661877,5194.0,-0.05551732784983137,Terrestrial,SuperEarth
Kepler-48 c,1.1646502159342969,2.71,-0.25919639329722044,0.9856038383987036,-1.0731432910503076,5194.0,-0.05551732784983137,Terrestrial,Neptunian
Kepler-48 d,0.8992731873176038,2.04,-0.15455605156839253,1.6324178090734736,-0.6422556748196244,5194.0,-0.05551732784983137,Terrestrial,SuperEarth
Kepler-5 b,2.826683121205894,15.984,-0.9093120280481275,0.5500406116297996,-1.269217724333611,6297.0,0.1367205671564068,Jovian,Jovian
Kepler-538 b,1.0253058652647702,2.215,-0.1357540630207947,1.9124228380875559,-0.3307761260691942,5547.0,-0.05060999335508721,Terrestrial,Neptunian
Kepler-539 b,2.488966622164482,8.373,-0.4046153880686981,2.099101760038838,-0.302073555193495,5820.0,0.021189299069938092,Terrestrial,Jovian
Kepler-6 b,2.3269713503737828,14.617,-1.292542127122182,0.5098339548285059,-1.3140792078054646,5647.0,0.08278537031645007,Jovian,Jovian
Kepler-62 b,0.9542425094393249,1.31,0.47748988586373214,0.7570110672421554,-1.2572748686953017,4925.0,-0.16115090926274472,Terrestrial,SuperEarth
Kepler-62 c,0.6020599913279624,0.54,1.2799399752507568,1.0948797252243534,-1.0319842860063582,4925.0,-0.16115090926274472,Terrestrial,SuperEarth
Kepler-62 d,1.146128035678238,1.95,0.1510854649823841,1.259212927804236,-0.9208187539523752,4925.0,-0.16115090926274472,Terrestrial,Neptunian
Kepler-62 e,1.5563025007672873,1.61,0.8108861360634381,2.0877367087233982,-0.36957212497497616,4925.0,-0.16115090926274472,Terrestrial,Neptunian
Kepler-62 f,1.5440680443502757,1.41,0.971471969775836,2.4269843358005296,-0.14387555575769967,4925.0,-0.16115090926274472,Terrestrial,Neptunian
Kepler-63 b,2.0791812460476247,6.11,-0.40388112128833786,0.9747028001265772,-1.0969100130080565,5576.0,-0.00877392430750515,Terrestrial,Jovian
Kepler-643 b,2.50651626168088,10.16,-0.6391035987711214,1.213222715330927,-0.8996294548824371,4908.0,0.0,Terrestrial,Jovian
Kepler-65 b,0.38021124171160603,1.42,-0.20159252804586333,0.33342913652942535,-1.4559319556497243,6211.0,0.09691001300805642,Terrestrial,SuperEarth
Kepler-65 c,0.7323937598229685,2.58,-0.6274040946750219,0.7678934657438253,-1.1674910872937636,6211.0,0.09691001300805642,Terrestrial,SuperEarth
Kepler-65 d,0.617000341120899,1.52,-0.05346915932171868,0.9101562456934776,-1.0757207139381184,6211.0,0.09691001300805642,Terrestrial,SuperEarth
Kepler-68 b,0.8836614351536176,2.354,-0.35669667697692997,0.7322972392131917,-1.2097148359667584,5875.23,0.02530586526477026,Terrestrial,SuperEarth
Kepler-68 c,0.3096301674258988,0.92,0.293327948780933,0.9825018907200566,-1.0429197403421002,5875.23,0.02530586526477026,Terrestrial,SuperEarth
Kepler-7 b,2.146633477366076,18.181,-1.7571585596852266,0.6889080575580042,-1.2170260050559518,5933.0,0.13353890837021754,Jovian,Jovian
Kepler-74 b,2.3015074570384364,10.76,-0.9188680935609745,0.8657381264586071,-1.1073489661226996,6000.0,0.07188200730612536,Jovian,Jovian
Kepler-75 b,3.506491502771017,11.77,0.16922337763241288,0.9486531111707872,-1.087246696328677,5200.0,-0.040958607678906384,BrownDwarf,Jovian
Kepler-76 b,2.805390945318726,15.244,-0.8688446115899625,0.18890875032054366,-1.562249437179612,6409.0,0.07918124604762482,Jovian,Jovian
Kepler-77 b,2.1356445942945634,10.761,-1.0848520365006236,0.5537351072015961,-1.3466909870615211,5520.0,-0.022276394711152253,Jovian,Jovian
Kepler-8 b,2.2730468995403816,15.872,-1.4537868014982287,0.5468508908189856,-1.324221658325915,6213.0,0.08278537031645007,Jovian,Jovian
Kepler-9 b,1.6374897295125106,8.29,-1.2431125987466096,1.2841804630035114,-0.8446639625349383,5774.0,0.00860017176191757,Jovian,Neptunian
Kepler-9 c,1.4756711883244296,8.08,-1.3715016306076289,1.5909008805560083,-0.6439741428068773,5774.0,0.00860017176191757,Jovian,Neptunian
Kepler-9 d,0.5224442335063199,1.64,-0.24702604724507357,0.20217515250904988,-1.563837352959244,5777.0,0.029383777685209667,Terrestrial,SuperEarth
Kepler-91 b,2.410679906776887,15.323,-1.2702902345779785,0.7956423063599194,-1.1360826230421395,4550.0,0.11727129565576427,Jovian,Jovian
Kepler-93 b,0.6574631715882994,1.569,-0.05434439578081061,0.6745617140713096,-1.275724130399211,5669.0,0.037426497940623665,Terrestrial,SuperEarth
Kepler-94 b,1.0350292822023681,3.51,-0.7258308038034039,0.39933792185454187,-1.5077985486074603,4781.0,-0.09151498112135022,Terrestrial,Neptunian
Kepler-95 b,1.1139433523068367,3.42,-0.6130737024698681,1.0615693308043685,-0.9926790470772554,5699.0,0.03342375548694973,Terrestrial,Neptunian
