pl_rade,log_pl_orbper,st_teff,pl_class,pl_class2
6.793,0.6366419883900817,5326.0,Jovian,Neptunian
6.882,0.6409801419668422,5732.0,Jovian,Neptunian
17.598,0.6606411420582082,6572.0,Jovian,Jovian
11.433,0.40083645347407965,5403.0,Terrestrial,Jovian
17.71,0.5137865526524261,6460.0,Jovian,Jovian
14.908,0.6225920780744083,6424.0,Terrestrial,Jovian
15.693,0.36023394010664994,6060.0,Jovian,Jovian
13.227,0.6423507083049168,5099.0,Jovian,Jovian
11.96,0.43836834299847083,5080.0,Jovian,Jovian
14.415,0.6219677216403818,6450.0,Jovian,Jovian
10.122,0.6759957002210412,5495.0,Jovian,Jovian
12.52,0.5935965873270435,4512.0,Jovian,Jovian
8.967,0.4957755204716561,4546.0,Jovian,Jovian
8.575,0.6178436371668916,4405.0,Jovian,Jovian
10.223,0.6779158670746458,5304.0,Jovian,Jovian
12.666,0.5831649248942394,5990.0,Jovian,Jovian
15.805,0.5248983148984226,5758.0,Jovian,Jovian
15.491,0.13565869121361818,6010.0,Jovian,Jovian
15.02,0.5858865579231198,5644.0,Jovian,Jovian
11.377,0.40554723681801463,5621.0,Jovian,Jovian
14.022,0.6236833782072339,6214.0,Jovian,Jovian
18.921,0.6359659279350858,6536.0,Jovian,Jovian
12.767,0.37118261173774547,5587.0,Terrestrial,Jovian
12.274,0.625115800716954,7175.0,Jovian,Jovian
12.621,0.7336851508007922,5670.0,Jovian,Jovian
11.187,0.521827240735995,3724.0,Jovian,Jovian
12.924,0.5515511182573601,5688.0,Jovian,Jovian
13.395,0.8930930552108349,5542.0,Terrestrial,Jovian
11.825,0.5154610280944498,5416.0,Jovian,Jovian
13.529,0.4852460965468292,5627.0,Jovian,Jovian
18.82,0.6909839196938954,6554.0,Jovian,Jovian
16.825,0.49208412290192965,6277.0,Jovian,Jovian
15.816,0.4971286448922215,6626.0,Terrestrial,Jovian
18.887,0.20660430235829358,6594.0,Jovian,Jovian
13.809,0.5546369524623276,6147.0,Jovian,Jovian
10.593,0.34738031248878,5137.0,Jovian,Jovian
6.311,0.5031523867490062,4985.0,Jovian,Neptunian
15.513,0.2760566873796403,7930.0,Terrestrial,Jovian
