,Hot Sauce,Brand Name,Ingredients,Scoville Rating (SHU),# of Seasons,7-pot,adobo,aji,aka,amarillo,anaheim,ancho,apollo,arbol,bell,bhut jolokia,bird,calabrian,capsicum,carolina reaper,cayenne,cherry,chili,chipotle,chocolate bhutlah,datil,fatalli,fijian bongo,fresno,guajillo,habanero,hatari,jalapeno,jigsaw,manzano,pasilla,peach,pepperoncini,pepperx,piquin,primo,scorpion,scotch bonnet,serrano,sivathei,tabasco,tepin,with_chili,with_cayenne,with_habanero,totalpepperpersauce
28,Crystal Hot Sauce,Crystal,"aged red cayenne peppers, distilled white vinegar, and salt",3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,Culley's Fire Water Hot Sauce,Culley's,"Smokin' Ed's Carolina Reaper, Trinidad Scorpion Butch T, Capsicum, White Wine Vinegar, Lime Juice, Mexican Tequila, Palm Sugar, Onions, Ginger, Garlic, Salt, Pepper.",112000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
30,Da' Bomb Beyond Insanity Hot Sauce,Da' Bomb,"Habaneros (habaneros, salt), Chipotle Puree (chipotles, water, salt, citric acid), Water, Orange Juice Concentrate, Natural Pepper Flavoring, Tomato Paste, Potassium Sorbate and Sodium Benzoate ",135600,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31,Dave's Gourmet Insanity Hot Sauce,Dave's Gourmet,"Hot Peppers, Water, Tomato Paste, Hot Pepper Extract, Cane Vinegar, Salt, Onions, Garlic, Citric and Acetic Acids (Acidity Regulators), Xanthan Gum (Thickener), Spices",180000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Dave's Gourmet Temporary Insanity Hot Sauce,Dave's Gourmet,"Hot Peppers, Water, Tomato Paste, Cane Vinegar, Hot Pepper Extract, Salt, Onions, Acetic and Citric Acids (Acidity Regulators), Garlic, Xanthan Gum (Thickener), Spices",57000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Dawson's Cedar Smoked Garlic Hot Sauce,Dawson's,"White wine vinegar, Habanero, Garlic, Onion, Extra virgin olive oil, Sea salt, Sumac",7000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34,Dawson's Original Hot Sauce,Dawson's,"habanero, vinegar, cane sugar, extra virgin olive oil, garlic, and sea salt",82000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,Dawson’s Shawarma Sauce,Dawson's,"Cayenne, vinegar, garlic, extra virgin olive oil, honey, spices, red chili pepper, sea salt, granulated garlic, chili powder",4200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
36,Dingo Sauce Co. Psycho Hot Sauce,Dingo Sauce Co.,"Mustard X Chilli, Cider Vinegar, Garlic, Turmeric, Coriander Seed, Mustard Powder, Cumin Seed, Fennel Seed, Cinnamon Sticks, Ground Mace, Cloves",666000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
37,Dingo Sauce Co. Widow Maker Hot Sauce,Dingo Sauce Co.,"Chilli Peppers, Cider Vinegar, Lime, Garlic, Brown Sugar, Sea Salt",682000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
