,Hot Sauce,Brand Name,Ingredients,Scoville Rating (SHU),# of Seasons,7-pot,adobo,aji,aka,amarillo,anaheim,ancho,apollo,arbol,bell,bhut jolokia,bird,calabrian,capsicum,carolina reaper,cayenne,cherry,chili,chipotle,chocolate bhutlah,datil,fatalli,fijian bongo,fresno,guajillo,habanero,hatari,jalapeno,jigsaw,manzano,pasilla,peach,pepperoncini,pepperx,piquin,primo,scorpion,scotch bonnet,serrano,sivathei,tabasco,tepin,with_chili,with_cayenne,with_habanero,totalpepperpersauce
122,Texas Pete Original Hot Sauce,Texas Pete,"Vinegar, Aged Peppers (Peppers, Salt, Vinegar), Water, Xanthan Gum and Benzoate of Soda",747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,The Donis Cadejo Hot Sauce,Donis,"Distilled White Vinegar, Mango, Onion, Carrot, Habañero Pepper, Olive Oil, Salt, Pepper, and Spices",15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
124,The Original Goat Ginger Goat Hot Sauce,Goat Ginger,"Apple cider vinegar, smoked pineapple, ginger, pineapple, carrot, lime juice concentrate, Carolina Reaper pepper, smoked onion, smoked garlic (olive oil, garlic), sugars (brown sugar), kosher salt, cilantro, turmeric",55000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Torchbearer Garlic Reaper Hot Sauce,Torchbearer Sauces,"Carolina reaper pepper, garlic, canola oil, water, distilled white vinegar, lime juice, granulated garlic, mustard powder, chili powder, salt",116000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
126,Torchbearer Headless Horseradish Hot Sauce,Torchbearer Sauces,"horseradish, Ghost Pepper, garlic, canola oil, water, Chipotle peppers, lemon juice, distilled white vinegar, Djon mustard, horseradish powder, salt, chili powder, black pepper",52000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
127,Torchbearer Sauces Honey Badger Hot Sauce,Torchbearer Sauces,"Apple cider vinegar, Scorpion pepper, honey, distilled white vinegar, water, canola oil, brown sugar, mustard powder, Carolina Reaper pepper, white sugar, cayenne pepper powder, black pepper, turmeric, mustard seed, granulated garlic, salt, garlic",99000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
128,Torchbearer Sauces Mushroom Mayhem Hot Sauce,Torchbearer Sauces,"Red wine vinegar, tomato paste, water, habanero pepper, brown sugar, scorpion pepper, mandarin orange, horseradish, garlic, molasses, black pepper, salt, shiitake mushroom powder, portobello mushroom powder, allspice, paprika",68000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
129,Torchbearer Son of Zombie Wing Sauce,Torchbearer Sauces,"Honey, apple cider vinegar, tomato paste, water, garlic, ghost pepper, habanero, distilled white vinegar, brown sugar, canola oil, lemon juice, molasses, mandarin orange, diced tomato, carrots, mustard powder, turmeric, garlic powder, onions, salt, crushed red pepper, white sugar, chili powder, oregano, black pepper",24000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
130,Torchbearer Zombie Apocalypse Ghost Chili Sauce,Torchbearer Sauces,"Bhut Jolokia Peppers, Habanero Peppers, Carrot, Mandarin Orange, Tomatoes, Distilled White Vinegar, Vegetable Oil, Garlic, Sugar, and other all natural spices",100000,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
131,Valentina Black Label Hot Sauce,Valentina,"Water, chile peppers, vinegar, salt, spices, 0.1% sodium benzoate",2100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
132,Volcanic Peppers Thor's Hammer Super Hot Sauce,Volcanic Peppers,"red and chocolate ghost, 7-Pot Douglah, Carolina Reaper, Moruga Scorpion, Jigsaw, Thai, vinegar, garlic, sugar, salt, spices and chia seeds",121000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
133,Wiltshire Chilli Farm Trinidad Scorpion Hot Sauce,Wiltshire Chilli Farm,"Trinidad Moruga Scorpion, Hatari Pepper, Habañero, Piquin, Ring of Fire, Peri-Peri, Tepin and Jalapeño Peppers, garlic, ginger, spices, salt, lemon, lime and orange juices and vinegar",104000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,6
134,Yellowbird Bliss & Vinegar Hot Sauce,Yellowbird,"Organic distilled vinegar, organic red serrano peppers, organic rice bran oil, strawberries, organic dates, organic coconut cream (organic coconut kernel extract, water), salt, onions, cinnamon, ginger",6200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
